#{"t_start": 1721932980.5830736, "env_id": "None"}
r,l,t
-82.76101,41,880.252389
-404.51807,301,880.504521
-351.88995,301,882.855359
-8.000284,41,883.719212
-13.343283,47,884.703052
-553.40533,301,886.064429
-365.2816,301,886.943398
-1118.6296,301,887.179507
-484.0995,301,891.276244
-982.796,301,892.741612
-379.159,301,893.76115
-349.1209,301,894.034558
-13.3124275,47,895.275222
-780.0101,301,898.862643
-583.416,301,900.353147
-459.92728,301,901.437692
-410.83362,301,902.93527
-110.44831,47,904.086979
-13.323843,47,905.247943
-424.8853,301,906.542437
-86.91628,48,907.816909
-290.0011,301,908.125992
-478.89902,301,909.17865
-1113.3301,301,913.09339
-410.31955,301,915.584913
-651.7616,301,915.889494
-10.478676,44,916.660584
-570.42487,301,916.906942
-633.4392,301,920.591434
-286.79398,301,923.235641
-1017.19507,301,924.020407
-203.95645,301,924.255206
-518.7747,301,928.02324
-1084.7904,301,930.678639
-352.29742,301,931.481693
-178.91367,301,931.714285
-60.819466,45,931.810815
-768.6148,301,935.429467
-480.28232,301,938.859432
-653.9957,301,939.084533
-480.07297,301,939.177054
-8.819181,42,939.929213
-89.105255,51,940.482211
-390.1074,301,942.892134
-111.15152,47,944.050313
-492.23257,301,946.601277
-1192.8314,301,947.436125
-549.0135,301,948.020341
-481.93774,301,951.479327
-820.0519,301,953.952729
-920.7442,301,954.76363
-356.11353,301,955.336963
-490.90128,301,958.756217
-437.09113,301,961.26227
-438.8199,301,962.057546
-1010.5988,301,962.596561
-787.2576,301,965.989874
-1083.5144,301,968.430145
-916.93933,301,969.226824
-765.171,301,969.763064
-11.912279,45,970.314224
-302.34195,301,973.152261
-455.09763,301,975.585748
-628.38,301,976.922918
-413.84238,301,977.465407
-506.8848,301,980.276338
-962.8261,301,982.713891
-458.33145,301,984.021067
-313.9317,301,984.563662
-10.303242,44,985.626181
-13.5181465,47,986.737311
-756.4566,301,987.479381
-886.0135,301,989.908751
-1141.4093,301,991.255781
-536.64606,301,993.931731
-704.93933,301,994.620495
-1023.3291,301,997.082919
-447.0828,301,998.387869
-388.37924,301,1001.210466
-403.19995,301,1001.929776
-481.57645,301,1004.386776
-267.20248,301,1005.78828
-554.41046,301,1008.639466
-532.6503,301,1009.406125
-452.1151,301,1012.028682
-547.0111,301,1013.433777
-576.9031,301,1016.280601
-899.76996,301,1017.04581
-398.05005,301,1019.65581
-394.5726,301,1021.016877
-357.29868,301,1023.91472
-471.5143,301,1024.628453
-683.89246,301,1027.207221
-707.31616,301,1028.590393
-86.62839,48,1029.738576
-488.6299,301,1031.242014
-1255.235,301,1031.839835
-13.478859,47,1032.221653
-746.84784,301,1033.988936
-434.8968,301,1036.126614
-562.8408,301,1038.129427
-685.4176,301,1038.501159
-473.56876,301,1040.226882
-679.68665,301,1042.822156
-525.9097,301,1045.154751
-758.1727,301,1045.614796
-543.39545,301,1047.748675
-1078.0608,301,1050.241347
-314.80753,301,1052.374928
-708.71716,301,1052.867809
-575.55743,301,1055.012355
-308.97604,301,1057.676403
-12.323391,46,1058.831859
-348.2138,301,1060.092303
-562.522,301,1060.541577
-328.53458,301,1062.724981
-542.81915,301,1066.466965
-564.3744,301,1067.728749
-1070.0817,301,1068.176611
-350.0773,301,1070.293097
-388.76572,301,1074.168371
-390.6948,301,1075.374238
-467.96997,301,1075.783956
-1094.2922,301,1077.705561
-616.606,301,1080.908299
-221.59364,301,1081.882536
-317.88846,301,1082.24806
-355.08838,301,1084.022291
-777.1788,301,1087.322871
-811.2928,301,1088.360303
-648.254,301,1088.730593
-791.7726,301,1090.474085
-239.87567,301,1093.55007
-1092.1083,301,1094.571697
-667.77997,301,1094.940091
-810.6861,301,1096.686182
-391.418,301,1099.666679
-353.968,301,1100.656357
-545.43115,301,1101.032935
-479.7898,301,1103.01842
-459.93323,301,1106.081536
-388.2774,301,1107.042244
-572.74445,301,1107.403292
-455.48486,301,1109.117471
-367.59723,301,1112.074287
-336.2067,301,1113.026037
-658.0695,301,1113.387976
-14.159241,48,1114.348161
-723.0643,301,1115.101024
-800.00024,301,1118.068623
-1025.5756,301,1119.060948
-917.51733,301,1120.415273
-592.717,301,1121.164079
-14.5060215,49,1122.140272
-361.0786,301,1124.128688
-428.5187,301,1125.111068
-405.69366,301,1126.430434
-312.64813,301,1128.153431
-245.6587,301,1130.181204
-778.44293,301,1131.243474
-557.89386,301,1132.687782
-473.46185,301,1134.3986
-273.8929,301,1136.581312
-1042.1184,301,1137.742077
-606.6246,301,1139.143529
-613.5318,301,1140.882157
-267.50275,301,1142.846913
-412.28888,301,1143.860188
-799.44574,301,1145.216373
-332.36456,301,1146.920102
-782.4928,301,1149.02031
-60.325516,45,1149.95317
-407.3904,301,1150.038081
-10.725338,44,1150.853486
-382.95016,301,1151.38155
-1026.5172,301,1153.150279
-1047.2122,301,1156.231004
-719.5385,301,1157.044002
-619.1806,301,1157.567808
-17.157759,51,1158.095337
-340.25366,301,1159.358957
-377.946,301,1162.413371
-413.44556,301,1163.735474
-1036.4932,301,1164.240562
-648.7163,301,1165.543147
-196.2764,301,1169.039675
-789.8101,301,1170.550185
-1224.4944,301,1171.228031
-280.5504,301,1172.625894
-240.40443,301,1175.87912
-12.3958645,46,1176.891338
-423.0745,301,1177.378411
-422.12906,301,1177.985698
-397.19766,301,1179.37178
-406.1061,301,1183.94107
-603.6188,301,1184.415626
-523.0525,301,1185.08897
-330.29587,301,1186.574923
-500.75388,301,1190.894377
-822.046,301,1191.307114
-454.33228,301,1191.86124
-597.95056,301,1193.185123
-411.53378,301,1197.295507
-874.90137,301,1197.688616
-248.93614,301,1198.223981
-929.20685,301,1199.480251
-12.694004,46,1200.428067
-518.50006,301,1203.518167
-559.34784,301,1203.910338
-379.288,301,1204.407201
-644.8846,301,1206.845208
-784.55383,301,1210.461827
-281.8405,301,1210.933474
-299.42932,301,1211.512383
-523.02277,301,1213.737696
-82.20828,42,1214.609969
-879.33734,301,1217.067822
-882.1873,301,1217.573675
-370.25055,301,1218.163827
-456.02548,301,1221.237348
-445.7012,301,1223.509276
-563.47076,301,1223.958612
-10.186556,44,1224.508151
-373.12524,301,1224.534699
-701.58685,301,1227.709198
-669.1508,301,1230.786819
-405.34778,301,1231.393532
-401.44394,301,1231.429531
-1085.4174,301,1235.355108
-519.54663,301,1238.73349
-462.2183,301,1239.375341
-327.5876,301,1239.410459
